PERMNO,date,TICKER,COMNAM,BID
14593,07/16/2008,AAPL,APPLE INC,172.71001
14593,07/17/2008,AAPL,APPLE INC,171.64000
14593,07/18/2008,AAPL,APPLE INC,165.23000
14593,07/21/2008,AAPL,APPLE INC,166.48000
14593,07/22/2008,AAPL,APPLE INC,162.14000
14593,07/23/2008,AAPL,APPLE INC,166.06000
14593,07/24/2008,AAPL,APPLE INC,159.08000
14593,07/25/2008,AAPL,APPLE INC,162.08000
14593,07/28/2008,AAPL,APPLE INC,154.73000
14593,07/29/2008,AAPL,APPLE INC,156.94000
14593,07/30/2008,AAPL,APPLE INC,159.98000
14593,07/31/2008,AAPL,APPLE INC,158.94000
14593,08/01/2008,AAPL,APPLE INC,156.72000
14593,08/04/2008,AAPL,APPLE INC,153.28000
14593,08/05/2008,AAPL,APPLE INC,160.52000
14593,08/06/2008,AAPL,APPLE INC,164.17999
14593,08/07/2008,AAPL,APPLE INC,163.66000
14593,08/08/2008,AAPL,APPLE INC,169.34000
14593,08/11/2008,AAPL,APPLE INC,173.50000
14593,08/12/2008,AAPL,APPLE INC,176.86000
14593,08/13/2008,AAPL,APPLE INC,179.28000
14593,08/14/2008,AAPL,APPLE INC,179.25999
14593,08/15/2008,AAPL,APPLE INC,175.69000
14593,08/18/2008,AAPL,APPLE INC,175.42000
14593,08/19/2008,AAPL,APPLE INC,173.53000
14593,08/20/2008,AAPL,APPLE INC,175.84000
14593,08/21/2008,AAPL,APPLE INC,174.24001
14593,08/22/2008,AAPL,APPLE INC,176.75000
14593,08/25/2008,AAPL,APPLE INC,172.57001
14593,08/26/2008,AAPL,APPLE INC,173.66000
14593,08/27/2008,AAPL,APPLE INC,174.61000
14593,08/28/2008,AAPL,APPLE INC,173.59000
14593,08/29/2008,AAPL,APPLE INC,169.56000
14593,09/02/2008,AAPL,APPLE INC,166.20000
14593,09/03/2008,AAPL,APPLE INC,167.05000
14593,09/04/2008,AAPL,APPLE INC,161.23000
14593,09/05/2008,AAPL,APPLE INC,160.00000
14593,09/08/2008,AAPL,APPLE INC,157.66000
14593,09/09/2008,AAPL,APPLE INC,151.56000
14593,09/10/2008,AAPL,APPLE INC,151.52000
14593,09/11/2008,AAPL,APPLE INC,152.53000
14593,09/12/2008,AAPL,APPLE INC,148.89999
14593,09/15/2008,AAPL,APPLE INC,140.60001
14593,09/16/2008,AAPL,APPLE INC,139.67000
14593,09/17/2008,AAPL,APPLE INC,128.00000
14593,09/18/2008,AAPL,APPLE INC,133.72000
14593,09/19/2008,AAPL,APPLE INC,140.75999
14593,09/22/2008,AAPL,APPLE INC,130.80000
14593,09/23/2008,AAPL,APPLE INC,126.84000
14593,09/24/2008,AAPL,APPLE INC,128.85001
14593,09/25/2008,AAPL,APPLE INC,131.92999
14593,09/26/2008,AAPL,APPLE INC,128.23000
14593,09/29/2008,AAPL,APPLE INC,105.66000
14593,09/30/2008,AAPL,APPLE INC,113.66000
14593,10/01/2008,AAPL,APPLE INC,109.12000
14593,10/02/2008,AAPL,APPLE INC,100.10000
14593,10/03/2008,AAPL,APPLE INC,97.11000
14593,10/06/2008,AAPL,APPLE INC,97.65000
14593,10/07/2008,AAPL,APPLE INC,89.29000
14593,10/08/2008,AAPL,APPLE INC,89.51000
14593,10/09/2008,AAPL,APPLE INC,89.00000
14593,10/10/2008,AAPL,APPLE INC,97.16000
14593,10/13/2008,AAPL,APPLE INC,110.08000
14593,10/14/2008,AAPL,APPLE INC,104.03000
14593,10/15/2008,AAPL,APPLE INC,97.92000
14593,10/16/2008,AAPL,APPLE INC,101.86000
14593,10/17/2008,AAPL,APPLE INC,97.34000
14593,10/20/2008,AAPL,APPLE INC,98.41000
14593,10/21/2008,AAPL,APPLE INC,91.30000
14593,10/22/2008,AAPL,APPLE INC,96.68000
14593,10/23/2008,AAPL,APPLE INC,98.23000
14593,10/24/2008,AAPL,APPLE INC,96.33000
14593,10/27/2008,AAPL,APPLE INC,92.01000
14593,10/28/2008,AAPL,APPLE INC,100.04000
14593,10/29/2008,AAPL,APPLE INC,104.49000
14593,10/30/2008,AAPL,APPLE INC,111.05000
14593,10/31/2008,AAPL,APPLE INC,107.84000
14593,11/03/2008,AAPL,APPLE INC,106.90000
14593,11/04/2008,AAPL,APPLE INC,110.85000
14593,11/05/2008,AAPL,APPLE INC,103.25000
14593,11/06/2008,AAPL,APPLE INC,99.15000
14593,11/07/2008,AAPL,APPLE INC,98.20000
14593,11/10/2008,AAPL,APPLE INC,95.70000
14593,11/11/2008,AAPL,APPLE INC,94.77000
14593,11/12/2008,AAPL,APPLE INC,90.12000
14593,11/13/2008,AAPL,APPLE INC,96.32000
14593,11/14/2008,AAPL,APPLE INC,90.19000
14593,11/17/2008,AAPL,APPLE INC,88.13000
14593,11/18/2008,AAPL,APPLE INC,89.69000
14593,11/19/2008,AAPL,APPLE INC,86.21000
14593,11/20/2008,AAPL,APPLE INC,80.65000
14593,11/21/2008,AAPL,APPLE INC,82.59000
14593,11/24/2008,AAPL,APPLE INC,92.77000
14593,11/25/2008,AAPL,APPLE INC,90.80000
14593,11/26/2008,AAPL,APPLE INC,94.97000
14593,11/28/2008,AAPL,APPLE INC,92.66000
14593,12/01/2008,AAPL,APPLE INC,89.00000
14593,12/02/2008,AAPL,APPLE INC,92.46000
14593,12/03/2008,AAPL,APPLE INC,95.90000
14593,12/04/2008,AAPL,APPLE INC,91.21000
14593,12/05/2008,AAPL,APPLE INC,93.87000
14593,12/08/2008,AAPL,APPLE INC,99.44000
14593,12/09/2008,AAPL,APPLE INC,100.04000
14593,12/10/2008,AAPL,APPLE INC,98.11000
14593,12/11/2008,AAPL,APPLE INC,95.01000
14593,12/12/2008,AAPL,APPLE INC,98.32000
14593,12/15/2008,AAPL,APPLE INC,94.76000
14593,12/16/2008,AAPL,APPLE INC,95.27000
14593,12/17/2008,AAPL,APPLE INC,89.00000
14593,12/18/2008,AAPL,APPLE INC,89.42000
14593,12/19/2008,AAPL,APPLE INC,89.73000
14593,12/22/2008,AAPL,APPLE INC,85.61000
14593,12/23/2008,AAPL,APPLE INC,86.41000
14593,12/24/2008,AAPL,APPLE INC,84.97000
14593,12/26/2008,AAPL,APPLE INC,85.82000
14593,12/29/2008,AAPL,APPLE INC,86.60000
14593,12/30/2008,AAPL,APPLE INC,86.21000
14593,12/31/2008,AAPL,APPLE INC,85.35000
14593,01/02/2009,AAPL,APPLE INC,90.59000
14593,01/05/2009,AAPL,APPLE INC,94.58000
14593,01/06/2009,AAPL,APPLE INC,92.94000
14593,01/07/2009,AAPL,APPLE INC,90.99000
14593,01/08/2009,AAPL,APPLE INC,92.76000
14593,01/09/2009,AAPL,APPLE INC,90.56000
14593,01/12/2009,AAPL,APPLE INC,88.57000
14593,01/13/2009,AAPL,APPLE INC,87.54000
14593,01/14/2009,AAPL,APPLE INC,85.30000
